,Review,Original,Predicted
0,really enjoyed bread easy make without bread maker lasted along time refrigerator also made good toast ,finally good bread ,great bread 
1,live small town next impossible find decaf k cups even impossible find price exactly wanted ,yes ,good coffee 
2,cannot drink plain unflavored coconut water horrid taste since coconut water works well hydrate workout hot day glad found flavor tried unable find passion fruit flavor also quite tasty tried flavors brands favorite ,great flavor ,great taste 
3,two love cet chewies happy able get online since new vet carry great deal shipping costs reasonable also waste time getting great service ,good deal and great shipping ,great price 
4,listened reviewers said candy remembered instead ended bad tasting stale almost impossible chew box candy order product ,disappointing ,stale 
5,looking great matcha use tea lattes etc wonderful use hand mixer blend milk agave nectar makes great latte ,great product ,wonderful tea 
6,hooked love artisan salts use grilling every opportunity yummy ,love it ,love it 
7,received product influenster sample really good perfect go snack ,soo good ,yummy 
8,good price tastes good color way intense stains everything gets spilled even stains teeth also sweetener used place sugar good would prefer add sweetener think would still taste good ,good tasting but ,good but not great 
9,unfortunately completely disappointed product average sense smell extract hardly detectable flavor bottle none whatsoever added food perhaps received part faulty batch seller letting return bottle requiring pay shipping would unlikely order ,almost no flavor ,not a good product 
10,think product marvelous bones soft good fresh flaky mild love sammy burger recipe lug case cans lucky enough find case delivered door ,wonderful salmon ,great product 
11,treat fussy siamese eat mind actually good upset otherwise sensitive stomach ,a hit with a finicky eater ,my dog loves them 
12,subscribed amazon bars glad seen trader joes whole lot buying bulk plenty hand quick protein snack always fresh time think taste pretty good sugar free candy bar replacement eat one craving chocolatey sweet ,great bars ,great bars 
13,candy came fast pictured new variety mango watermelon blue bummer ,not the flavors pictured ,not what i expected 
14,love treats keeping dog teeth clean great deal well ,greenies are the greatest ,great for training 
15,carbonated blend juices refreshing drink kiwi strawberry flavors come distinctly drinking eating strawberry flavor dominates switch carbonated soda need added sugar definite plus lower carbonation also makes easier drink intrigued try flavors switch makes ,refreshing kiwi berry beverage ,tasty and refreshing 
16,tasty snack although little salty otherwise love ,great snack ,great snack 
17,love coconut love cashews could eat things rest life would die happy great bar enjoy coconut flavor cashew flavor ,very tasty ,great taste 
18,love ella kitchen organic baby food easy take go also first baby food child ever ate refused earth best gerber sweet potato pumpkin apple blueberry flavor always favorite tasted actually really good great product healthy ,love ella s kitchen ,great for 
19,small seeds br slow spout br days still ready br ordered lb br br stay away ,not what you expect ,not what i expected 
20,wonderful love everything mango quite treat soft flavorful two thumbs ,mango ,love this tea 
21,read one chia books really super food br br side price gouging amazon chia found many grocery stores bulk bins around lb bag ridiculous ,they are amazing ,great product 
22,amazon suggestion star review like said gave star review spicy thai chips chips perfect people enjoy spicy chip whose taste buds appreciate added sweetness ginger flavor thing really dislike chips along rest flavors serving size half bag really eat half save rest later ,i like them ,good chips 
23,love coffee night really miss decaff ,good coffee ,great coffee 
24,get wrong good sweet tart slightly fizzy overly big enough quench thirst gets warm br br wow sweet mean kool aid meets syrup lemon lime soda tossed looking something like soda water slight flavor keep going want sweet drink get rid craving ,that is a sweet drink ,a bit of a sweet 
25,thoroughly enjoyed bigelow pomegranate green tea k cup large cup every morning add little honey sweeten perfect start day ,k cup tea ,green tea 
26,href http www amazon com gp product b coombs family farms pure organic maple syrup grade b ounce jug br quality great price ,delicious ,maple syrup 
27,surprised see though loose leaf tea came individually wrapped cute br br dark full body easily able get like strong steep less time ,deliciously dark ,great tea 
28,trader joe discontinued kept line go figure exotic label bland taste one best ever tasted reed ,no ginger bite ,not for me 
29,order dog time last order purchased snack smashed almost powder form instead like little nuggets usually happy ,disappointed ,too much 
30,blend one hand please guest mild enough prefer weak us like dark french roast ordering around ,blend for all ,not a strong cup of coffee 
31,sent gift several people since free shipping sale everyone loved ,great gift ,great gift 
32,order time packaged correctly bought daughter pastry chef loves fondarific price great lb tub ,chef ,great product 
33,pg tips everything need cup nonsense tea strong without bitterness smooth stands milk sugar give satisfying tea experience br br know many know look noses brand tea go way br br subscribe save feature pg tips makes economical well ,a great cup of tea ,best tea ever 
34,wife uses gerd helps lot uses time effective ,review of organic aid ,great product 
35,worked perfectly candy bar wedding great size resealable bag works well arrived perfectly fresh good crowd pleaser ,great size great bag great candy ,great for a great price 
36,portions nice size eat sitting smokey moist flaky firm buying good may get larger portions next time ,this salmon is yummy ,tasty 
37,three dogs along different types bedtime treats biggest hit ever cinnamon smell delicious dogs anything one treats highly recommend ,they smell good too ,dogs love em 
38,bought amazon snap bits difficult find pet stores dog diet treats cheerios baby carrots cut little pieces yes eats ice cubes snap bits extra special treat knows hand really likes roll one along floor chase chomp ,choice for my dog s special treat ,my dogs love it 
39,great coffee great price great vendor wife loves coffee convenient pack kuerig makes easy use enjoy ,newman s rocks ,great coffee 
40,true history shake n bake simple way delicious dinner family loves ,an easy dinner ,great for 
41,great popcorn great price learned lesson well buy oz bags stove top hand crank popper buy oz easy splitting oz contents ,good stuff ,great popcorn 
42,product great get many treats teenies petite size puppies love like crazy price great delivery service great overall happy everything ,d ,great product 
43,best taco shells ever love everyone know agrees much better others find stores also love gmos main reason buying knew garden eatin good products took chance ordered using subscribe save glad could even give chips eat salsa always arrive intact usually couple broken happen even go pick store ,the best taco shells ever ,the best chips ever 
44,one time favorite guilty pleasure sadly nothing left enjoy dry flavorless packing peanuts ,great snack gives cardboard a bad name ,great taste 
45,delicious handy snacks enjoyable low calorie fat sugar free serving divided many tasty chewy squares lasts long time makes perfect take along time snack thank ,delicious ,delicious 
46,one best brews ever tried since bought keurig trying dozen different kinds blends coffee plus dark milk chocolate different tea top list two favorite kinds coffee amazon ,green mountain dark magic coffee for keurig ,best coffee 
47,agree majority reviewers stating excellent coffee rich overwhelming caramel flavor familiar brand prior finding sale know ordering ,excellent coffee ,coffee 
48,quite tasty delicious love prices ridiculous say ridiculous oh ridiculous im rate product price stars product ,delicious ,delicious 
49,candy order came quickly packed well cardboard box bags ounce size pleased candy gotten soft sticky transit sometimes order ounce bag last bag opened ordering another case took minute write quick note ,my favorite ,great candy 
50,added lights shop originally using two fluorescent tubes dark spots every safe running power tools br br cfl bright clear yellowing plus energy efficient br br posted photo see br br fingers safe ,excellent light and value ,great for 
51,son loves soup large noodles great soup filled carrots celery fast convenient great meal bring trip ,safe for my son ,great soup 
52,convience popcorn carb lightly salty well seasoned goodness never eaten fresh pork skins must ,warm fresh ,great popcorn 
53,friend doctor recommended weight loss baby good better little artificial sweetener added note sure drink water bottle add drink mix fizz ,zipfizz ,good for 
54,wonderful service packaging second time around truly appreciate service got cant wait enjoy pasta ,nd times a ,great product 
55,used dog couple dozen times thoroughly enjoyed one time managed unscrew bottom experience bottom ultimate solution last morsels coming dropping toy cracked hard plastic breaking lid jug toy advertised heavy chewers container obviously hold hope store offer refund ,dog through the jug itself ,not for dogs 
56,nothing jerky stands might well buy pack gas station rather pack ,mediocre ,jerky 
57,little guy ate could even write review ,great deal ,not my favorite 
58,cat eat food know waste money looking something cheap guess get pay ,my cat hates it ,cat food 
59,lot family hiking biking grade school kids peanut allergy eliminates energy bars consideration far best tasting energy snack found without peanuts kids love em ,kids like em ,great for 
60,dogs love picky treats love ,dog treats ,my dogs love these 
61,received beans today wow amazing amount price paid smell absolutely fantastic came vacuum packed keep practically forever ,amazing deal ,amazing 
62,favorite winter meal always grilled cheese sandwich tomato soup like folks grew eating campbells trying amy tomato bisque tell another league delicious new favorite soup keep least case hand times cold outside ,awesome tomato soup ,best soup ever 
63,product absolute best bar b meat roasted garlic turns trick little pricey twice much amazon nice discount makes palatable ,great ,great bar 
64,first experience ordering kefir grains growing seemed br shipping handling charge rather high small amount size br walnut less also directions come grains days later br via email much later already handled following directions br son recommended source pleased br pa ,of kefir grains i ordered ,good product 
65,absolutely love poptarts even though breakfasts buy low fat version save half fat regular version think taste better crispier toasted price also right amazon com ,low fat ,not so good 
66,product definitely good gluten free cookies try pamela ,cookies ,cookies 
67,course taste always subjective really touchy stomach ginger altoids nearly never fail alleviate like strong slightly burning tastes stay away love em ,for stomachs ,not for me 
68,kinda good plain simple food sometimes best br half calories spam products better alternative fast food make lunch enjoy product made america kinda good ,some kinda good ,good stuff 
69,great gift son wife many nights new baby new years day dinner brewed one blends pie aroma taste excellent ,great gift ,great gift 
70,need lot dill weed want fresh product low price br br warning huge bag ,huge bag very fresh ,good deal 
71,coffee extremely weak lacks flavor like drinking cup hot water yuck expected green mountain name nantucket blend ,weak ,weak coffee 
72,href http www amazon com gp product b nature logic north atlantic sardine oil fatty acid supplement dogs cats oz bottle br always give dog fish oil brewers yeast tablets always gets complimented coat shiny soft product best value could find dog problems taste mix food ,good value and product ,good product 
73,skeptical product like peanut brittle kind hard expecting something soft like nature valley bars bit instantly hooked tastes good good top gluten free love bars ,free nature valley roasted nut crunch bars ,great taste 
74,price could thrown container lollipops came plastic bag price cent container could added without company losing much money ,love them lollipops but ,not what i expected 
75,perfect self feeding baby consistency rice slightly sticky little fingers grab perfect bite ,quick easy ,great for on the go 
76,far closest thing thai restaurant tried though close still exactly one spice thai teas missing really outstanding ,best thai tea so far ,best tea 
77,mixed terrier dogs prefer treat others one dogs scratches cabinet stored wanting ,are amazing treats and a great value ,dogs love it 
78,love taste wonderful g protein calories great snack working ,great product ,great taste 
79,love smoked salmon great value grocery store get nice wooden box makes great gift well gift wrap required wait till next one gets ,amazing ,great gift 
80,pleased purchase yoo hoo purchasing future thank ,excellant ,great 
81,delightful tea excellent afternoon time alone perfect gift giving arrived time even one tea leaf damaged ,perfect ,wonderful tea 
82,shake bake always staple house love different varieties chicken quite happy offered chance review recipe pork chops disappointed husband year old daughter really enjoyed product worried chops getting soggy came nice crisp chops stayed nice juicy wonderful dinner paired nice salad simple side dish definitley purchasing product future ,wonderful ,awesome 
83,hickory smoked primal jerky awesome jerky one things really missed since becoming vegetarian stuff fantastic replacement though flavor great exactly meat still sweet tangy like hickory smoked jerky texture also excellent quite tough real thing close fairly healthy keep backpack quick awesome snack ,makes me a happy vegetarian ,great jerky 
84,flavor okay texture grainy eating scone felt mouthful sand would buy ,very grainy ,not good 
85,drinking coconut water regularly last six months tested pretty much every brand found zico best product available water fresh free weird additives container used zico solid fits perfectly refrigerator br recommend product anyone want enjoy health benefits coconut water ,amazing drink ,best drink ever 
86,loved soy ginger noodles absolutely spicy hot two year old gobbled ,wonderful from american cuisine ,great for on the go 
87,raw almonds must toast bit stale toasting fine cheap guess get pay ,okay product for raw almonds ,stale 
88,fell love lemon flavor immediately put mouth perfect combination sour taste cream sugar always eat chocolate tiramisu coffee flavor first time lemon absolutely great put milk cold cereal together banana slices perfect ,love this flavor ,great flavor 
89,definitely best mint tea ever actually tastes like mint definitely buy ,best mint tea ,best tea ever 
90,hard find product local grocery stores loose tea something wife enjoy ,tea ,good tea 
91,must good never lies even likes drinks strawberry protein shakes ,says it is good ,great taste 
92,saw local market figured could get pack give inexpensive trial threw away use could bought boxes hot chocolate packets happily boiled water even give one star ,save your money ,not hot chocolate 
93,flavors good like mint flavored gum using gum help smoke eat less go lot gum tried many different types extra dessert delights best ever ,yummy ,best gum ever 
94,like another candy set ordered mostly kids stocking try limit candy use wifes stocking yes take piece early present ,the taste of christmas ,great candy 
95,office really enjoyed tea different taste lovely color sure get tea thanks much ,nice pink tea ,great tea 
96,nana chocolate chocolate chip cookies tasty dairy natural sugar fruit juice trans fat like way package stay fresher longer br kind cookies make feel like eating healthier ,tasty cookies ,tasty but not a great cookie 
97,two words says healthy tasty got week back waffle maker made year old came fluffy perfect consistency ,healthy and tasty ,great for 
98,trying eat healthy could really find good tasting low fat snacks friend told pop chips bought amazon said loved give try said heck likes must good know loved bag almost everyday snack ,them ,great snack 
99,water good cannot drink much dr want drink lipton tea taste great keep ,refreshing ,great taste 
100,cafe escapes best hot chocolate k cups purchase product office price good shipping free ,flavorful ,great hot chocolate 
101,bought im stationed japan love honey well recieved mail sat front tv bowl spoon ice cold milk poured bowl must say fresh thought getting cereal mail would come stale get way japan would make matters worse well didnt love ,they were fresh ,not good 
102,pleasantly surprised tried far grape orange etc flavors clear harmful artificial colorings friends enjoyed also trying variety pack way go ,refreshing ,good flavor 
103,searching local stores product since moved years ago luck even organic stores unless wanted spend arm leg special holiday recipe called wild rice ordered online hoped quality would advertised product met exceeded expectations dish came beautifully know get wild rice time need ,exactly what i needed ,great product 
104,convenient less messy way incorporate peanut butter diet absolutely delicious use yogurt fruit smoothies br br love lower fat sugar traditional peanut butter glad found think ever go back stuff ,love it ,pb 
105,though bit expensive juice carbonation sweet somewhat tangy taste little sweet br br favorite fruit juice combination flavor soda tried well br br price sure would buy continue using juicer br br another issue high calories br br believe high quality drink would recommend highly ,healthy alternative ,tasty and refreshing 
106,wife like coffee really taste like chocolate glazed donut mug doesnt taste chemically like flavored coffees light tasty ,tasty coffee ,not a good coffee 
107,delicious easy mix add spice apple juice give rich spiced cider flavor one package last month even used fairly frequently fine powder lets dissolve immediately cup pitcher regret offer ,spice mix ,delicious 
108,dont big fuss lot bad reviews u read description comes revealed plastic like kcups anyhow ordered fogchaser great iced coffee mine flavor perfect keep tupperware keep fresh plan buying flavors encourage come even flavors price awsome beats paying bucks paid kcups def keep buying ,i love it ,great tasting and great value 
109,coffee outstanding nice strong flavor without bitterness br wondering k cups used vue ,great ,great coffee 
110,lets face going get succulent chocolate world give great everyday cocoa oz brew great mix coffee instant mocha sugar needed kids love happy purchase keep pantry always ,great cocoa for the price ,great cocoa 
111,bought one kits center disney world last fall right tree great able keep alive indoors winter potted recently outside really happy think kit really good somebody interested starting tree included really nice get supplies get going right path awesome ,excellent kit ,great gift 
112,quickly pop large everlasting treat ball still remain entertained time never problems product like get rawhides bones especially greenies dogs cannot dissolve create ,is my golden s favorite everlasting flavor ,great product 
113,smooth rich flavorful beans rich dark almost disappear except wake smelling grinding morning tried wide variety life hands favorite cannot get altura blends almost good ,all time favorite ,best coffee 
114,favorite bar delicious wholesome nuts coconut rank infinitely better regular candy bar fake energy bar ,delicious ,great bar 
115,zap microwave covered water couple minutes store bowl fridge warm half dozen morning breakfast delicious ,great for breakfast ,great for kids 
116,even though everyone talks natural popular zico flavor far favorite light refreshing less sugar calories flavored coconut waters zico add juice puree like brands way also awesome mixer hear ,taste with much less sugar and calories ,refreshing 
117,best natural dog food puppies healthy coats shedding excellent teeth healthy growth best market continue purchase product ,natural choice dog food ,dog food 
118,dogs love perfect size training amazon best price lb bag ,great for training ,great product 
119,ordered two gallon jugs honey cook specific carbohydrate diet received four oz bottles raw ambrosia colorado honey great tasted good natural honey like years reorder going fast ,wrong order ,honey honey 
120,great sugar substitute put mostly everything coffee cereal great oatmeal need much ,better than sugar ,great sugar free cereal 
121,disposakups easy convenient use great substitute run k cups want run store buy replacement supply pay higher store prices ,convenient easy ,great product 
122,threw garbage straight trash far dog concerned would rather eat sticks right tree branches crummy things ,these treats not fit for a dog ,terrible 
123,buyer aware box came top layer fortune cookies box looked like dirty ,this item has no return ,cookies 
124,good product cheapest price pound seen getting every time need ,great for gluten free baking ,good product 
125,using product month love handy works great holds soap well holds vigorous shower ,great product ,great product 
126,snyder best quality pretzels opinion fact around years speaks br br also retail convenience store get supply amazon price right subscribe save make retail price use local middle man distributor ,quality ,best jerky 
127,stuff good since diabetic need sugary drinks really appreciate flavor quality bought one local store hooked best flavor lemonade berry lemon lime black raspberry ,sparkling ice ,great taste 
128,sweet salty licorice ball melts mouth like impatient great soft chewy ,delicious ,great for low carb diet 
129,great flavor trust stuff delivers exactly says get ice bath ready wear loose ,the best of the hot sauces ,great 
130,great results funny taste product really helped worked quickly bought difficult time pumping enough provide bottles daycare definitely solved problem ,this really helped with ,great product 
131,recipe called lot dark chili powder place could find amazon com bought jar made two batches chili recipe chili best would ever made vouch chili powder really make big difference flavor chili rich bit kick everyone crazy think due chili powder back buy bag time ,best chili powder i ever tried ,best chili ever 
132,ordered special treat mom love sweet soft uses strong mint flavor like love two different sizes cuts kind confusing think adds homemade charm fudge br br really also appreciate effort took get fudge packed ice packs also appreciate little plastic knife cutting ,delicious ,a good treat 
133,using ultra gel years makes great gravy keeps salsa going runny thickens soups lets cut fat white sauces half love home canned jars apple pie filling even full applications ,love this stuff ,great for 
134,starbucks coffee like others heavy stuff tastes rich overwhelming br get sale free coupon bag cool ,good stuff ,great coffee 
135,honey delicious good flavor repeat customers honey duration two us using bottles ,ambrosia honey ,honey honey 
136,taste like pork rinds taste bad microwave bag pops half way done popping eat immediately pretty hot seem melt mouth needing much water brushing get rinds taste mouth afterwards think idea pretty good product turn expected opinion ,good if its all you can get ,not for me 
137,done research get better vitamin price best dog tried products satisfied results trust dog continue buy products support local rescue ,just the best ,great product 
138,use oil dipping breads making salad dressing nice flavor tastes like avocados overpowering ,great flavor and quality ,great oil 
139,hot chocolate tastes like hot sugar water pinch coco although even sugary taste weak tainted flavor artificial sweetener sucralose consistency watery bland made oz cup directed directions box br br recommend product ,tastes like hot sugar water ,yuck 
140,kenyan tea smooth malty four minute steep gives rich satisfying cup tea excellent sweetener stevia shot half half one top breakfast teas ,excellent tea ,excellent tea 
141,received gift xmas really liked insanity sauce rot ever finish sauces really great year since receiving kept stock dave products would recommend anyone enjoys spicy food wood crate fall apart though affect rating ,great gift ,great gift 
142,gluten free want crackers one also delicious second order ,a cracker of a cracker ,great gluten free crackers 
143,thank getting us nephew disappointed get product within set time period however delighted product ,amazon purchase of for swedish ,great product 
144,purchased use moisturizer definitely job skin feels super soft coconut oil melts ,amazing ,great stuff 
145,bit cookie first time ready good alternative baking company double chocolate vegan cookie wrong way better addition nuts chips barley malt taste cookies eager order flavors cookie try compare much cheaper brand currently available amazon ,very good ,good but not great 
146,love hardly notice aftertaste sweetener agree others like buy ,grove cocoa k cups ,my favorite k cup so far 
147,coffee bit bitter flavoring sort vanilla nut pumpkin pie seems like name sort spicy flavor even nice flavor also fair amount fine dust fine filter find floating coffee enjoyed coffee well enough would buy something else next time ,good but not amazing ,not bad 
148,took years find good powdered milk good tasting powdered milk looking use everything makes best hot chocolate carob make heated pan stove ever thanks great product keep buying ,finally a good powdered milk ,best hot cocoa 
149,fully pleased teas including flavors tastes great opinion even good brewed coffee maker becomes rich bold flavor ,wonderful tea ,excellent tea 
